,Feature,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC
0,F3,0.75,0.75,1.0,0.5,0.6666666666666666,0.6296296296296297
1,F4,0.7222222222222222,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154,0.5648148148148149
2,F7,0.75,0.75,1.0,0.5,0.6666666666666666,0.6697530864197531
3,F8,0.75,0.75,1.0,0.5,0.6666666666666666,0.6728395061728394
4,Fz,0.6944444444444444,0.6944444444444444,1.0,0.3888888888888889,0.56,0.6481481481481481
5,Frontal_Mean_Relative,0.7222222222222222,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154,0.6635802469135803
