Sample,Condition,F3,F4,F7,F8,Fz,Frontal_Mean_Relative
1,1-back,1.0,1.0,1.0,1.0,1.0,1.0
1,2-back,1.2998399606179702,1.0952663943546068,1.2314320650094652,1.1430216020986081,1.2120877880982484,1.1963295620357797
1,3-back,1.1132573030075676,0.9792803432256628,0.9930551798470681,1.1551742985169835,1.0071161997580167,1.0495766648710596
1,4-back,1.7675174607841089,1.5930536187219242,1.7118613079340526,1.9044499133323793,1.5655833268641066,1.7084931255273141
2,1-back,1.0,1.0,1.0,1.0,1.0,1.0
2,2-back,1.2616670249318944,1.220020082705841,1.184892843106974,1.163902310902587,1.2909293979751106,1.2242823319244813
2,3-back,1.468568680325022,1.2317410269967348,1.2422202036651133,1.261939749341145,1.3279485026201485,1.3064836325896327
2,4-back,4.097508432746603,3.4013427656723394,4.019494902996165,4.102442730151429,3.716243986556333,3.8674065636245745
3,1-back,1.0,1.0,1.0,1.0,1.0,1.0
3,2-back,1.5369006521740571,1.6340022076548597,1.4290205854688895,1.5248798975672928,1.446652596808876,1.514291187934795
3,3-back,2.0184467553389296,9.013287498096515,3.775415867797192,3.985666141324885,1.9492472467196955,4.1484127018554435
3,4-back,4.288145686417317,4.226156773216364,3.768883215357702,4.522521314753669,3.9447972372250293,4.150100845394016
4,1-back,1.0,1.0,1.0,1.0,1.0,1.0
4,2-back,1.3566668433607367,1.3912970108956262,1.4003423979675524,1.6874125219544671,1.4379317235552633,1.4547300995467292
4,3-back,1.3976786860568142,1.4222877298971868,1.4150748089840106,1.6160117120343516,1.3456116099204898,1.4393329093785707
4,4-back,1.1253401564448826,1.0385748157902728,1.0251548390761789,1.0828645599448832,1.154337550103297,1.085254384271903
5,1-back,1.0,1.0,1.0,1.0,1.0,1.0
5,2-back,0.8899698028776907,0.679974893648365,0.9796829900874955,0.7751629107160887,1.0919046086017257,0.883339041186273
5,3-back,0.8389223175085897,0.7191695622145396,0.9131553065609225,0.7911083089451911,1.225106201378821,0.8974923393216127
5,4-back,1.2105651955084782,0.8395868803533112,1.5046322278718396,0.9766974649254516,0.9772662983787704,1.1017496134075704
6,1-back,1.0,1.0,1.0,1.0,1.0,1.0
6,2-back,1.0944402247310907,0.7430251148832933,0.8753299558934448,0.8829005695448104,0.7854584176088998,0.8762308565323078
6,3-back,1.1233982062427985,0.7882887610254043,1.169283993672321,1.0022134143765045,0.8801178190171842,0.9926604388668425
6,4-back,1.0857811715546837,1.083953127794676,1.6853999876750847,1.6864615766323208,1.1698604213151178,1.3422912569943766
7,1-back,1.0,1.0,1.0,1.0,1.0,1.0
7,2-back,0.8797053313764319,0.6791043901441497,1.0406117518949998,0.7551276673440591,0.7033584195784942,0.8115815120676269
7,3-back,1.9664730013771166,1.7952895978333108,2.6651875515229926,2.361511421730656,1.7019613488742238,2.09808458426766
7,4-back,1.975049233683488,1.5414401379330198,2.3187125746371913,1.9660930586850007,1.640949543362901,1.88844890966032
