Sample,Condition,Electrode,Epoch,Theta_Power
1,1-back,F7,26,2.0380046207407648e-10
1,1-back,F7,27,5.7419577448719783e-11
1,1-back,F7,28,1.915929426709284e-10
1,1-back,F7,29,8.435606951337034e-11
1,1-back,F7,30,7.71444294054982e-11
1,1-back,F7,31,1.542133510103271e-10
1,1-back,F7,32,1.2542077725651346e-10
1,1-back,F7,33,1.9082125432759225e-10
1,1-back,F7,34,5.7343682988015373e-11
1,1-back,F7,35,1.2652390481288502e-10
1,1-back,F7,36,1.9001659788558267e-10
1,1-back,F7,37,4.3511850221652514e-10
1,1-back,F7,38,5.858553650085881e-11
1,1-back,F7,39,1.4087914627149956e-11
1,1-back,F7,40,4.4178943371433194e-10
1,1-back,F7,41,1.724326293796719e-11
1,1-back,F7,42,1.6773262877373073e-10
1,1-back,F7,43,4.673206787379804e-11
1,1-back,F7,44,5.535522854881545e-11
1,1-back,F7,45,2.721988882800795e-10
1,1-back,F7,46,6.721452961802581e-11
1,1-back,F7,47,2.440869650341106e-11
1,1-back,F7,48,5.720781248610686e-11
1,1-back,F7,49,1.0181276868852685e-11
1,1-back,F8,1,2.1131620051078578e-11
1,1-back,F8,2,2.0207296164325215e-10
1,1-back,F8,3,5.490846898406646e-10
1,1-back,F8,4,6.685646036689765e-11
1,1-back,F8,5,3.712484878358521e-11
1,1-back,F8,6,2.1627781632663895e-11
1,1-back,F8,7,3.2973852327549426e-10
1,1-back,F8,8,2.4815987944395816e-11
1,1-back,F8,9,6.117353783378945e-11
1,1-back,F8,10,8.757321985916031e-11
1,1-back,F8,11,2.1203087616876944e-11
1,1-back,F8,12,1.41731088781047e-11
1,1-back,F8,13,2.1860422789193924e-11
1,1-back,F8,14,1.5616958667870978e-10
1,1-back,F8,15,1.5890761201207257e-11
1,1-back,F8,16,4.151808593861448e-11
1,1-back,F8,17,4.4644125413692796e-11
1,1-back,F8,18,3.7046752479756286e-11
1,1-back,F8,19,4.1868212332005e-11
1,1-back,F8,20,1.601955875550811e-10
1,1-back,F8,21,3.9884285757753684e-11
1,1-back,F8,22,2.1255966174384417e-10
1,1-back,F8,23,1.0366606964113947e-10
1,1-back,F8,24,4.5085692820584135e-11
1,1-back,F8,25,2.2516024782687685e-10
1,1-back,F8,26,1.9351650330443092e-10
